gene_name,gene_id,mgi_symbol
ENSMUSG00000037095,10602,Lrg1
ENSMUSG00000037096,10603,Gm9762
ENSMUSG00000037098,10604,Rab11fip3
ENSMUSG00000037101,10605,Ttc29
ENSMUSG00000037103,10606,Dcaf15
ENSMUSG00000037104,10607,Socs5
ENSMUSG00000037106,10608,Fer1l6
ENSMUSG00000037108,10609,Zcwpw1
ENSMUSG00000037110,10610,Ralgapa2
ENSMUSG00000037111,10611,Setd7
ENSMUSG00000037112,10612,Sik2
ENSMUSG00000037119,10613,D15Ertd621e
ENSMUSG00000037124,10614,Trim58
ENSMUSG00000037126,10615,Psd
ENSMUSG00000037129,10616,Tmprss13
ENSMUSG00000037130,10617,H2-M10.6
ENSMUSG00000037134,10618,Prmt10
ENSMUSG00000037138,10619,Aff3
ENSMUSG00000037139,10620,Myom3
ENSMUSG00000037140,10621,Tas2r108
ENSMUSG00000037143,10622,Cfap61
ENSMUSG00000037145,10623,2210407C18Rik
ENSMUSG00000037148,10624,Arhgap10
ENSMUSG00000037149,10625,Ddx1
ENSMUSG00000037151,10626,Lrrc20
ENSMUSG00000037152,10627,Ndufc1
ENSMUSG00000037157,10628,Il22ra1
ENSMUSG00000037159,10629,Wee2
ENSMUSG00000037161,10630,Mgarp
ENSMUSG00000037166,10631,Ppp1r14a
ENSMUSG00000037167,10632,Spaca5
ENSMUSG00000037169,10633,Mycn
ENSMUSG00000037171,10634,Nodal
ENSMUSG00000037172,10635,E330009J07Rik
ENSMUSG00000037174,10636,Elf2
ENSMUSG00000037185,10637,Krt80
ENSMUSG00000037188,10638,Grhl3
ENSMUSG00000037190,10639,Cyb561d2
ENSMUSG00000037196,10640,Pacrg
ENSMUSG00000037197,10641,Rbm17
ENSMUSG00000037202,10642,Prf1
ENSMUSG00000037204,10643,Atg101
ENSMUSG00000037206,10644,Islr
ENSMUSG00000037210,10645,Fam193a
ENSMUSG00000037211,10646,Spry1
ENSMUSG00000037214,10647,Thap1
ENSMUSG00000037216,10648,Lipt1
ENSMUSG00000037217,10649,Syn1
ENSMUSG00000037221,10650,Mospd3
ENSMUSG00000037224,10651,Zfyve28
ENSMUSG00000037225,10652,Fgf2
ENSMUSG00000037234,10653,Hook3
ENSMUSG00000037235,10654,Mxd4
ENSMUSG00000037236,10655,Matr3
ENSMUSG00000037239,10656,Spred3
ENSMUSG00000037242,10657,Clic4
ENSMUSG00000037243,10658,Zfp692
ENSMUSG00000037246,10659,H2-M10.5
ENSMUSG00000037247,10660,Pldi
ENSMUSG00000037251,10661,Pomk
ENSMUSG00000037253,10662,Mex3c
ENSMUSG00000037254,10663,Itih2
ENSMUSG00000037257,10664,Aagab
ENSMUSG00000037259,10665,Dzank1
ENSMUSG00000037260,10666,Hgsnat
ENSMUSG00000037262,10667,Kin
ENSMUSG00000037263,10668,Aldh3b3
ENSMUSG00000037266,10669,Rsrp1
ENSMUSG00000037270,10670,4932438A13Rik
ENSMUSG00000037275,10671,Gemin5
ENSMUSG00000037278,10672,Tmem97
ENSMUSG00000037279,10673,Ovol2
ENSMUSG00000037280,10674,Galnt6
ENSMUSG00000037286,10675,Stag1
ENSMUSG00000037287,10676,Tbcel
ENSMUSG00000037295,10677,Ldlrap1
ENSMUSG00000037296,10678,Lsm1
ENSMUSG00000037300,10679,Ttc13
ENSMUSG00000037306,10680,Man1c1
ENSMUSG00000037307,10681,Banf2
ENSMUSG00000037313,10682,Tacc3
ENSMUSG00000037315,10683,Jade3
ENSMUSG00000037316,10684,Bag4
ENSMUSG00000037318,10685,Traf3ip3
ENSMUSG00000037321,10686,Tap1
ENSMUSG00000037325,10687,Bbs7
ENSMUSG00000037326,10688,Capn15
ENSMUSG00000037331,10689,Larp1
ENSMUSG00000037334,10690,H2-M1
ENSMUSG00000037335,10691,Hand1
ENSMUSG00000037336,10692,Mfsd2b
ENSMUSG00000037337,10693,Map4k1
ENSMUSG00000037339,10694,Fam53a
ENSMUSG00000037341,10695,Slc9a7
ENSMUSG00000037343,10696,Taf2
ENSMUSG00000037344,10697,Slc12a9
ENSMUSG00000037346,10698,Hrh4
ENSMUSG00000037347,10699,Chst7
ENSMUSG00000037348,10700,Paqr7
ENSMUSG00000037349,10701,Nudt22
ENSMUSG00000037351,10702,Actr1b
ENSMUSG00000037353,10703,Letmd1
ENSMUSG00000037355,10704,Uvssa
ENSMUSG00000037358,10705,4930578C19Rik
ENSMUSG00000037361,10706,Sf3b6
ENSMUSG00000037362,10707,Nov
ENSMUSG00000037363,10708,Letm2
ENSMUSG00000037364,10709,Srrt
ENSMUSG00000037366,10710,Pafah2
ENSMUSG00000037369,10711,Kdm6a
ENSMUSG00000037370,10712,Enpp1
ENSMUSG00000037373,10713,Ctbp1
ENSMUSG00000037375,10714,Hhat
ENSMUSG00000037376,10715,Trmt6
ENSMUSG00000037379,10716,Spon2
ENSMUSG00000037386,10717,Rims2
ENSMUSG00000037390,10718,Muc3
ENSMUSG00000037393,10719,Nmur2
ENSMUSG00000037395,10720,Rcor3
ENSMUSG00000037400,10721,Atp11b
ENSMUSG00000037405,10722,Icam1
ENSMUSG00000037406,10723,Htra4
ENSMUSG00000037408,10724,Cnnm4
ENSMUSG00000037410,10725,Tbc1d2b
ENSMUSG00000037411,10726,Serpine1
ENSMUSG00000037415,10727,Ranbp10
ENSMUSG00000037416,10728,Dmxl1
ENSMUSG00000037418,10729,Best1
ENSMUSG00000037419,10730,Endod1
ENSMUSG00000037424,10731,Taar9
ENSMUSG00000037426,10732,Depdc5
ENSMUSG00000037428,10733,Vgf
ENSMUSG00000037432,10734,Fer1l5
ENSMUSG00000037434,10735,Slc30a1
ENSMUSG00000037437,10736,Adam32
ENSMUSG00000037438,10737,Gm9763
ENSMUSG00000037440,10738,Vnn1
ENSMUSG00000037443,10739,Cep85
ENSMUSG00000037446,10740,Tulp1
ENSMUSG00000037447,10741,Arid5a
ENSMUSG00000037451,10742,Slc22a20
ENSMUSG00000037455,10743,Slc18b1
ENSMUSG00000037458,10744,Azin1
ENSMUSG00000037461,10745,Ints7
ENSMUSG00000037463,10746,Fbxo27
ENSMUSG00000037465,10747,Klf10
ENSMUSG00000037466,10748,4930427A07Rik
ENSMUSG00000037469,10749,Papl
ENSMUSG00000037470,10750,Uggt1
ENSMUSG00000037474,10751,Dtl
ENSMUSG00000037475,10752,Thoc2
ENSMUSG00000037477,10753,Tbx10
ENSMUSG00000037482,10754,Erv3
ENSMUSG00000037486,10755,Asxl2
ENSMUSG00000037487,10756,Ubr5
ENSMUSG00000037490,10757,Slc2a12
ENSMUSG00000037492,10758,Zmat4
ENSMUSG00000037493,10759,Cib2
ENSMUSG00000037499,10760,Nenf
ENSMUSG00000037503,10761,Fam168b
ENSMUSG00000037509,10762,Arhgef4
ENSMUSG00000037513,10763,NA
ENSMUSG00000037514,10764,Pank2
ENSMUSG00000037519,10765,Ppfia1
ENSMUSG00000037523,10766,Mavs
ENSMUSG00000037525,10767,Bcdin3d
ENSMUSG00000037526,10768,Atg14
ENSMUSG00000037529,10769,Prss40
ENSMUSG00000037531,10770,Mrpl47
ENSMUSG00000037533,10771,Rapgef6
ENSMUSG00000037535,10772,1700021A07Rik
ENSMUSG00000037536,10773,Fbxo34
ENSMUSG00000037537,10774,H2-M11
ENSMUSG00000037541,10775,Shank2
ENSMUSG00000037542,10776,Aldh8a1
ENSMUSG00000037544,10777,Dlgap5
ENSMUSG00000037548,10778,H2-DMb2
ENSMUSG00000037552,10779,Plekhg2
ENSMUSG00000037553,10780,Zdhhc18
ENSMUSG00000037563,10781,Rps16
ENSMUSG00000037568,10782,Vash2
ENSMUSG00000037570,10783,Mcrs1
ENSMUSG00000037572,10784,Wdhd1
ENSMUSG00000037573,10785,Tob1
ENSMUSG00000037577,10786,Ephx3
ENSMUSG00000037578,10787,Pkd2l1
ENSMUSG00000037579,10788,Kcnh3
ENSMUSG00000037580,10789,Gch1
ENSMUSG00000037583,10790,Nr0b2
ENSMUSG00000037593,10791,BC030499
ENSMUSG00000037594,10792,BC022687
ENSMUSG00000037600,10793,Kdf1
ENSMUSG00000037601,10794,Nme1
ENSMUSG00000037603,10795,Gm5519
ENSMUSG00000037605,10796,Adgrl3
ENSMUSG00000037606,10797,Osbpl5
ENSMUSG00000037608,10798,Bclaf1
ENSMUSG00000037610,10799,Kcnmb2
ENSMUSG00000037613,10800,Tnfrsf23
ENSMUSG00000037617,10801,Spag1
ENSMUSG00000037621,10802,Atoh8
ENSMUSG00000037622,10803,Wdtc1
ENSMUSG00000037624,10804,Kcnk2
ENSMUSG00000037625,10805,Cldn11
ENSMUSG00000037627,10806,Rgs22
ENSMUSG00000037628,10807,Cdkn3
ENSMUSG00000037636,10808,Slc25a43
ENSMUSG00000037638,10809,Zbtb42
ENSMUSG00000037640,10810,Zfp60
ENSMUSG00000037643,10811,Prkci
ENSMUSG00000037646,10812,Vps13b
ENSMUSG00000037649,10813,H2-DMa
ENSMUSG00000037652,10814,Phc3
ENSMUSG00000037653,10815,Kctd8
ENSMUSG00000037656,10816,Slc20a2
ENSMUSG00000037660,10817,Gdf7
ENSMUSG00000037661,10818,Gpr160
ENSMUSG00000037664,10819,Cdkn1c
ENSMUSG00000037669,10820,Ldah
ENSMUSG00000037674,10821,Rfx7
ENSMUSG00000037679,10822,Inf2
ENSMUSG00000037681,10823,Esyt3
ENSMUSG00000037683,10824,Armc3
ENSMUSG00000037685,10825,Atp8a1
ENSMUSG00000037686,10826,Aspg
ENSMUSG00000037689,10827,Tmem247
ENSMUSG00000037692,10828,Ahdc1
ENSMUSG00000037697,10829,Ddhd1
ENSMUSG00000037703,10830,Lzts3
ENSMUSG00000037705,10831,Tecta
ENSMUSG00000037706,10832,Cd81
ENSMUSG00000037708,10833,Spag6
ENSMUSG00000037709,10834,Fam13a
ENSMUSG00000037710,10835,Cisd1
ENSMUSG00000037712,10836,Fermt2
ENSMUSG00000037716,10837,Ccdc33
ENSMUSG00000037720,10838,Tmem33
ENSMUSG00000037722,10839,Gnpnat1
ENSMUSG00000037725,10840,Ckap2
ENSMUSG00000037727,10841,Avp
ENSMUSG00000037730,10842,Mynn
ENSMUSG00000037731,10843,Themis2
ENSMUSG00000037735,10844,2810032G03Rik
ENSMUSG00000037736,10845,Limch1
ENSMUSG00000037737,10846,Actrt3
ENSMUSG00000037738,10847,Nek5
ENSMUSG00000037740,10848,Mrps26
ENSMUSG00000037742,10849,Eef1a1
ENSMUSG00000037747,10850,Phyhipl
ENSMUSG00000037750,10851,Fam222b
ENSMUSG00000037752,10852,Xkr8
ENSMUSG00000037754,10853,Ppp1r16b
ENSMUSG00000037759,10854,Ptger2
ENSMUSG00000037761,10855,Actr5
ENSMUSG00000037762,10856,Slc16a9
ENSMUSG00000037771,10857,Slc32a1
ENSMUSG00000037772,10858,Mrpl23
ENSMUSG00000037773,10859,Pced1a
ENSMUSG00000037780,10860,Mbl1
ENSMUSG00000037784,10861,Dzip1l
ENSMUSG00000037787,10862,Apopt1
ENSMUSG00000037788,10863,Vopp1
ENSMUSG00000037790,10864,Defb7
ENSMUSG00000037791,10865,Phf12
ENSMUSG00000037795,10866,N4bp2
ENSMUSG00000037797,10867,Adh4
ENSMUSG00000037798,10868,Mat1a
ENSMUSG00000037801,10869,Iqch
ENSMUSG00000037805,10870,Rpl10a
ENSMUSG00000037808,10871,Fam76b
ENSMUSG00000037813,10872,D630003M21Rik
ENSMUSG00000037814,10873,NA
ENSMUSG00000037815,10874,Ctnna1
ENSMUSG00000037816,10875,Fbxw17
ENSMUSG00000037818,10876,Abhd18
ENSMUSG00000037820,10877,Tgm2
ENSMUSG00000037822,10878,Smim14
ENSMUSG00000037824,10879,Tspan14
ENSMUSG00000037826,10880,Ppm1k
ENSMUSG00000037833,10881,Sh2d4b
ENSMUSG00000037843,10882,Vstm2l
ENSMUSG00000037845,10883,Fdxacb1
ENSMUSG00000037846,10884,Rtkn2
ENSMUSG00000037847,10885,Nmrk1
ENSMUSG00000037849,10886,Gm4955
ENSMUSG00000037851,10887,Iars
ENSMUSG00000037852,10888,Cpe
ENSMUSG00000037855,10889,Zfp365
ENSMUSG00000037857,10890,Nufip2
ENSMUSG00000037860,10891,Aim2
ENSMUSG00000037868,10892,Egr2
ENSMUSG00000037872,10893,Ackr1
ENSMUSG00000037876,10894,Jmjd1c
ENSMUSG00000037884,10895,1700017G19Rik
ENSMUSG00000037885,10896,Stk35
ENSMUSG00000037887,10897,Dusp8
ENSMUSG00000037890,10898,Wdr19
ENSMUSG00000037892,10899,Pcdh18
ENSMUSG00000037894,10900,H2afz
ENSMUSG00000037896,10901,Rcor1
ENSMUSG00000037902,10902,Sirpa
ENSMUSG00000037904,10903,Ankrd9
ENSMUSG00000037905,10904,Bri3bp
ENSMUSG00000037907,10905,Ankrd13b
ENSMUSG00000037910,10906,1700018B24Rik
ENSMUSG00000037913,10907,Tmem156
ENSMUSG00000037916,10908,Ndufv1
ENSMUSG00000037921,10909,Ddx60
ENSMUSG00000037922,10910,Bank1
ENSMUSG00000037924,10911,Olfr16
ENSMUSG00000037926,10912,Ssh2
ENSMUSG00000037933,10913,Bicd2
ENSMUSG00000037935,10914,Smarce1
ENSMUSG00000037936,10915,Scarb1
ENSMUSG00000037938,10916,Chchd5
ENSMUSG00000037940,10917,Inpp4b
ENSMUSG00000037942,10918,Crp
ENSMUSG00000037944,10919,Ccr7
ENSMUSG00000037946,10920,Fgd3
ENSMUSG00000037949,10921,Ano10
ENSMUSG00000037953,10922,A4gnt
ENSMUSG00000037957,10923,Wdr20
ENSMUSG00000037958,10924,Nsrp1
ENSMUSG00000037960,10925,Card19
ENSMUSG00000037962,10926,Fam101a
ENSMUSG00000037965,10927,Zc3h7a
ENSMUSG00000037966,10928,Ninj1
ENSMUSG00000037971,10929,1110032A03Rik
ENSMUSG00000037972,10930,Snn
ENSMUSG00000037973,10931,Ccdc129
ENSMUSG00000037974,10932,Muc5ac
ENSMUSG00000037977,10933,6430571L13Rik
ENSMUSG00000037979,10934,Ccdc92
ENSMUSG00000037982,10935,Gm9725
ENSMUSG00000037984,10936,Neurod6
ENSMUSG00000037989,10937,Wnk2
ENSMUSG00000037990,10938,Sh3rf3
ENSMUSG00000037991,10939,Rmi2
ENSMUSG00000037992,10940,Rara
ENSMUSG00000037993,10941,Dhx38
ENSMUSG00000037994,10942,Slc9b2
ENSMUSG00000037995,10943,Igsf9
ENSMUSG00000037996,10944,Slc24a2
ENSMUSG00000037997,10945,Parp11
ENSMUSG00000037999,10946,Arap2
ENSMUSG00000038000,10947,Acd
ENSMUSG00000038002,10948,Cramp1l
ENSMUSG00000038005,10949,2700029M09Rik
ENSMUSG00000038007,10950,Acer2
ENSMUSG00000038009,10951,Dnajc22
ENSMUSG00000038010,10952,Ccdc138
ENSMUSG00000038011,10953,Dnah10
ENSMUSG00000038013,10954,Wipf2
ENSMUSG00000038014,10955,Fam120a
ENSMUSG00000038015,10956,Prm2
ENSMUSG00000038020,10957,Rapgefl1
ENSMUSG00000038022,10958,Fam188b
ENSMUSG00000038023,10959,Atp6v0a2
ENSMUSG00000038024,10960,Dennd4c
ENSMUSG00000038025,10961,Phf2
ENSMUSG00000038026,10962,Kcnj9
ENSMUSG00000038028,10963,Tigar
ENSMUSG00000038034,10964,Igsf8
ENSMUSG00000038037,10965,Socs1
ENSMUSG00000038039,10966,Gcc2
ENSMUSG00000038042,10967,Ptpdc1
ENSMUSG00000038044,10968,Cct8l1
ENSMUSG00000038045,10969,Sult6b1
ENSMUSG00000038046,10970,Rnmtl1
ENSMUSG00000038047,10971,Haus6
ENSMUSG00000038048,10972,Cntnap5c
ENSMUSG00000038055,10973,Dexi
ENSMUSG00000038056,10974,Kmt2c
ENSMUSG00000038057,10975,Dbil5
ENSMUSG00000038058,10976,Nod1
ENSMUSG00000038059,10977,Smim3
ENSMUSG00000038060,10978,Dlec1
ENSMUSG00000038064,10979,Cldn22
ENSMUSG00000038065,10980,Mturn
ENSMUSG00000038067,10981,Csf3
ENSMUSG00000038068,10982,Rnf144b
ENSMUSG00000038069,10983,Cdkn2aip
ENSMUSG00000038070,10984,Cntln
ENSMUSG00000038071,10985,Npy6r
ENSMUSG00000038072,10986,Galnt11
ENSMUSG00000038074,10987,Fkbp14
ENSMUSG00000038077,10988,Kcna6
ENSMUSG00000038079,10989,Tmem237
ENSMUSG00000038080,10990,Kdm1b
ENSMUSG00000038084,10991,Opa1
ENSMUSG00000038085,10992,Cnbd2
ENSMUSG00000038086,10993,Hspb2
ENSMUSG00000038092,10994,Hsd3b5
ENSMUSG00000038094,10995,Atp13a4
ENSMUSG00000038095,10996,Sbno1
ENSMUSG00000038102,10997,Trappc11
ENSMUSG00000038112,10998,AW551984
ENSMUSG00000038115,10999,Ano2
ENSMUSG00000038116,11000,Phf20
ENSMUSG00000038119,11001,Cdon
ENSMUSG00000038121,11002,Fam210a
ENSMUSG00000038122,11003,Tbc1d32
ENSMUSG00000038126,11004,Mphosph9
ENSMUSG00000038127,11005,Ccdc50
ENSMUSG00000038128,11006,Camk4
ENSMUSG00000038132,11007,Rbm24
ENSMUSG00000038135,11008,Crygn
ENSMUSG00000038141,11009,Tmem181a
ENSMUSG00000038143,11010,Stox2
ENSMUSG00000038145,11011,Snrk
ENSMUSG00000038146,11012,Notch3
ENSMUSG00000038147,11013,Cd84
ENSMUSG00000038148,11014,Cldn16
ENSMUSG00000038150,11015,Ormdl3
ENSMUSG00000038151,11016,Prdm1
ENSMUSG00000038152,11017,5033430I15Rik
ENSMUSG00000038155,11018,Gstp2
ENSMUSG00000038156,11019,Spon1
ENSMUSG00000038160,11020,Atg5
ENSMUSG00000038165,11021,1700022A21Rik
ENSMUSG00000038167,11022,Plekhg6
ENSMUSG00000038168,11023,P3h2
ENSMUSG00000038170,11024,Pde4dip
ENSMUSG00000038172,11025,Ttc39b
ENSMUSG00000038173,11026,Enpp6
ENSMUSG00000038174,11027,Fam126b
ENSMUSG00000038175,11028,Mylip
ENSMUSG00000038178,11029,Slc43a2
ENSMUSG00000038179,11030,Slamf7
ENSMUSG00000038180,11031,Spag4
ENSMUSG00000038181,11032,Chpf2
ENSMUSG00000038187,11033,Btbd10
ENSMUSG00000038188,11034,Scarf1
ENSMUSG00000038192,11035,Cer1
ENSMUSG00000038193,11036,Hand2
ENSMUSG00000038194,11037,NA
ENSMUSG00000038195,11038,Rilp
ENSMUSG00000038199,11039,4931409K22Rik
ENSMUSG00000038201,11040,Kcna7
ENSMUSG00000038203,11041,Hoxa13
ENSMUSG00000038204,11042,Asb10
ENSMUSG00000038205,11043,Prkab2
ENSMUSG00000038206,11044,Fbxo8
ENSMUSG00000038208,11045,Pgap3
ENSMUSG00000038209,11046,Itln1
ENSMUSG00000038210,11047,Hoxa11
ENSMUSG00000038212,11048,Hiatl1
ENSMUSG00000038213,11049,Tapbpl
ENSMUSG00000038214,11050,Bend3
ENSMUSG00000038215,11051,Cep44
ENSMUSG00000038216,11052,Pnmt
ENSMUSG00000038217,11053,Tlcd2
ENSMUSG00000038218,11054,Gm9765
ENSMUSG00000038224,11055,Serpinf2
ENSMUSG00000038225,11056,Primpol
ENSMUSG00000038227,11057,Hoxa9
ENSMUSG00000038233,11058,Fam198a
ENSMUSG00000038235,11059,F11r
ENSMUSG00000038236,11060,Hoxa7
ENSMUSG00000038239,11061,Hrc
ENSMUSG00000038240,11062,Pdss2
ENSMUSG00000038241,11063,Cep250
ENSMUSG00000038242,11064,Aox4
ENSMUSG00000038244,11065,Mical2
ENSMUSG00000038246,11066,Fam50b
ENSMUSG00000038248,11067,Sobp
ENSMUSG00000038250,11068,Usp38
ENSMUSG00000038252,11069,Ncapd2
ENSMUSG00000038253,11070,Hoxa5
ENSMUSG00000038255,11071,Neurod2
ENSMUSG00000038256,11072,Bcl9
ENSMUSG00000038257,11073,Glra3
ENSMUSG00000038259,11074,Gdf5
ENSMUSG00000038260,11075,Trpm4
ENSMUSG00000038264,11076,Sema7a
ENSMUSG00000038267,11077,Slc22a23
ENSMUSG00000038268,11078,Ovca2
ENSMUSG00000038271,11079,Iffo1
ENSMUSG00000038274,11080,Fau
ENSMUSG00000038276,11081,Asic3
ENSMUSG00000038279,11082,Nop2
ENSMUSG00000038280,11083,Ostm1
ENSMUSG00000038286,11084,Bphl
ENSMUSG00000038290,11085,Smg6
ENSMUSG00000038291,11086,Snx25
ENSMUSG00000038292,11087,Ccdc155
ENSMUSG00000038295,11088,Atg9b
ENSMUSG00000038296,11089,Galnt18
ENSMUSG00000038298,11090,Pdzk1
ENSMUSG00000038299,11091,Wdr36
ENSMUSG00000038300,11092,Pth2
ENSMUSG00000038301,11093,Snx10
ENSMUSG00000038302,11094,Lace1
ENSMUSG00000038304,11095,Cd160
ENSMUSG00000038305,11096,Spats2l
ENSMUSG00000038311,11097,2410017I17Rik
ENSMUSG00000038312,11098,Edem2
ENSMUSG00000038319,11099,Kcnh2
ENSMUSG00000038323,11100,1700066M21Rik
ENSMUSG00000038324,11101,Trpc4ap
ENSMUSG00000038327,11102,Serpinb9f
ENSMUSG00000038330,11103,C87499
ENSMUSG00000038331,11104,Satb2
ENSMUSG00000038332,11105,Sesn1
ENSMUSG00000038335,11106,Tsr1
ENSMUSG00000038342,11107,Mlxip
ENSMUSG00000038344,11108,Txlng
ENSMUSG00000038346,11109,Zfp384
ENSMUSG00000038347,11110,Tcte2
ENSMUSG00000038349,11111,Plcl1
ENSMUSG00000038351,11112,Sgsm2
ENSMUSG00000038352,11113,Arl5c
ENSMUSG00000038354,11114,Ankrd35
ENSMUSG00000038357,11115,Camp
ENSMUSG00000038365,11116,Fbxo25
ENSMUSG00000038366,11117,Lasp1
ENSMUSG00000038368,11118,Focad
ENSMUSG00000038369,11119,Ncoa6
ENSMUSG00000038370,11120,Pcp4l1
ENSMUSG00000038371,11121,Sbf2
ENSMUSG00000038372,11122,Gmds
ENSMUSG00000038374,11123,Rbm8a
ENSMUSG00000038375,11124,Trp53inp2
ENSMUSG00000038379,11125,Ttk
ENSMUSG00000038383,11126,Pigu
ENSMUSG00000038384,11127,Setd1b
ENSMUSG00000038387,11128,Rras
ENSMUSG00000038388,11129,Mpp6
ENSMUSG00000038390,11130,Gpr162
ENSMUSG00000038393,11131,Txnip
ENSMUSG00000038398,11132,Upf3a
ENSMUSG00000038400,11133,Pmepa1
ENSMUSG00000038402,11134,Foxf2
ENSMUSG00000038403,11135,Hfe2
ENSMUSG00000038406,11136,Scaf1
ENSMUSG00000038408,11137,1700018A04Rik
ENSMUSG00000038412,11138,Higd1a
ENSMUSG00000038415,11139,Foxq1
ENSMUSG00000038416,11140,Cdc16
ENSMUSG00000038417,11141,Fig4
ENSMUSG00000038418,11142,Egr1
ENSMUSG00000038421,11143,Fcrla
ENSMUSG00000038422,11144,Hdhd3
ENSMUSG00000038425,11145,Poli
ENSMUSG00000038429,11146,Usp5
ENSMUSG00000038437,11147,Mllt6
ENSMUSG00000038446,11148,Cdc40
ENSMUSG00000038451,11149,Spsb2
ENSMUSG00000038453,11150,Srcin1
ENSMUSG00000038456,11151,Dennd2a
ENSMUSG00000038457,11152,Tmem255b
ENSMUSG00000038459,11153,Abhd17c
ENSMUSG00000038462,11154,Uqcrfs1
ENSMUSG00000038463,11155,Olfml2b
ENSMUSG00000038467,11156,Chmp4b
ENSMUSG00000038473,11157,Nos1ap
ENSMUSG00000038481,11158,Cdk19
ENSMUSG00000038482,11159,Tfdp1
ENSMUSG00000038485,11160,Socs7
ENSMUSG00000038486,11161,Sv2a
ENSMUSG00000038489,11162,Polr2l
ENSMUSG00000038491,11163,Cdk19os
ENSMUSG00000038495,11164,Otud7b
ENSMUSG00000038496,11165,Slc19a3
ENSMUSG00000038497,11166,Tmco3
ENSMUSG00000038498,11167,Catsper1
ENSMUSG00000038500,11168,Prr3
ENSMUSG00000038502,11169,Ptov1
ENSMUSG00000038503,11170,Mesdc2
ENSMUSG00000038506,11171,Dcun1d2
ENSMUSG00000038507,11172,Parp12
ENSMUSG00000038508,11173,Gdf15
ENSMUSG00000038510,11174,Rpf2
ENSMUSG00000038515,11175,Grtp1
ENSMUSG00000038517,11176,Tbkbp1
ENSMUSG00000038518,11177,Jarid2
ENSMUSG00000038520,11178,Tbc1d17
ENSMUSG00000038521,11179,C1s1
ENSMUSG00000038522,11180,AI317395
ENSMUSG00000038523,11181,1700003F12Rik
ENSMUSG00000038524,11182,Fchsd1
ENSMUSG00000038525,11183,Armc10
ENSMUSG00000038526,11184,Car14
ENSMUSG00000038527,11185,C1rl
ENSMUSG00000038528,11186,BC021785
ENSMUSG00000038530,11187,Rgs4
ENSMUSG00000038533,11188,Cbfa2t2
ENSMUSG00000038534,11189,Osbpl7
ENSMUSG00000038535,11190,Zfp280d
ENSMUSG00000038537,11191,Mc3r
ENSMUSG00000038538,11192,Ubn2
ENSMUSG00000038539,11193,Atf5
ENSMUSG00000038540,11194,Tmc3
ENSMUSG00000038541,11195,Srd5a2
ENSMUSG00000038542,11196,Pcid2
ENSMUSG00000038543,11197,BC028528
ENSMUSG00000038544,11198,Inip
ENSMUSG00000038545,11199,Cul7
ENSMUSG00000038546,11200,Ranbp9
ENSMUSG00000038550,11201,Ciart
ENSMUSG00000038552,11202,Fndc4
ENSMUSG00000038555,11203,Reep2
ENSMUSG00000038560,11204,Sp6
ENSMUSG00000038563,11205,Eftud1
ENSMUSG00000038564,11206,Ift172
ENSMUSG00000038567,11207,Cyp24a1
ENSMUSG00000038569,11208,Rad9b
ENSMUSG00000038570,11209,Saxo2
ENSMUSG00000038572,11210,Bpifb5
ENSMUSG00000038576,11211,Susd4
ENSMUSG00000038578,11212,Susd1
ENSMUSG00000038580,11213,Sct
ENSMUSG00000038582,11214,Pptc7
ENSMUSG00000038583,11215,Pln
ENSMUSG00000038587,11216,Akap12
ENSMUSG00000038591,11217,Colec10
ENSMUSG00000038593,11218,Tctn1
ENSMUSG00000038594,11219,Cep85l
ENSMUSG00000038598,11220,AI481877
ENSMUSG00000038599,11221,Capn8
ENSMUSG00000038600,11222,Atp6v0a4
ENSMUSG00000038602,11223,Slc35f1
ENSMUSG00000038604,11224,Fam65a
ENSMUSG00000038605,11225,Samd10
ENSMUSG00000038607,11226,Gng10
ENSMUSG00000038608,11227,Dock10
ENSMUSG00000038611,11228,Phrf1
ENSMUSG00000038612,11229,Mcl1
ENSMUSG00000038615,11230,Nfe2l1
ENSMUSG00000038618,11231,Rassf7
ENSMUSG00000038619,11232,Ensa
ENSMUSG00000038622,11233,Med30
ENSMUSG00000038623,11234,Tm6sf1
ENSMUSG00000038624,11235,Nepn
ENSMUSG00000038628,11236,Polr3k
ENSMUSG00000038630,11237,Zkscan16
ENSMUSG00000038633,11238,Degs1
ENSMUSG00000038637,11239,Lrrc56
ENSMUSG00000038641,11240,Akr1d1
ENSMUSG00000038642,11241,Ctss
ENSMUSG00000038644,11242,Pold1
ENSMUSG00000038646,11243,Fam103a1
ENSMUSG00000038648,11244,Creb3l2
ENSMUSG00000038650,11245,Rnh1
ENSMUSG00000038651,11246,Sycp2l
ENSMUSG00000038656,11247,Cyp3a16
ENSMUSG00000038658,11248,Ric1
ENSMUSG00000038663,11249,Fsd2
ENSMUSG00000038664,11250,Herc1
ENSMUSG00000038665,11251,Dgki
ENSMUSG00000038668,11252,Lpar1
ENSMUSG00000038670,11253,Mybpc2
ENSMUSG00000038671,11254,Arfrp1
ENSMUSG00000038676,11255,Ucn
ENSMUSG00000038677,11256,Scube3
ENSMUSG00000038679,11257,Trps1
ENSMUSG00000038683,11258,Pak1ip1
ENSMUSG00000038685,11259,Rtel1
ENSMUSG00000038690,11260,Atp5j2
ENSMUSG00000038691,11261,Mbd3l1
ENSMUSG00000038692,11262,Hoxb4
ENSMUSG00000038695,11263,Josd2
